15:22:04   28.05.2013              Programm Climap                 MeteoSchweiz
Zeitangaben in UTC 0040 (UTC)  =  01:40 Uhr Winterzeit  =  02:40 Uhr Sommerzeit
Auswahlperiode: 01.01.1998 00:00  -  31.12.2012 23:50 UTC 32767 -> Keine Angabe
Anzahl Stationen  1
    32	Payerne                  490 m.?.M.	562150/ 184855
Anzahl Parameter  3
   211  Lufttemperatur 2 m über Boden; Tagesmittel  [°C]
   224  Globalstrahlung; Tagesmittel  [W/m²]
   237  Niederschlag; Kalendertag  [mm]

  STA JAHR MO TG HH MM   211   224   237
   32 1998  4 26  0  0  14.0   135   0.0 
   32 1998  4 27  0  0   8.6    86   1.3 
   32 1998  4 28  0  0   6.6   116   2.9 
   32 1998  4 29  0  0   8.2   189   0.0 
   32 1998  4 30  0  0  10.3   147   0.0 
   32 1998  5  1  0  0  11.1    82   0.0 
   32 1998  5  2  0  0  10.2    76   2.7 
   32 1998  5  3  0  0  11.8   257   0.0 
   32 1998  5  4  0  0  10.3   105   0.0 
   32 1998  5  5  0  0   9.6   297   0.0 
   32 1998  5  6  0  0  11.1   140   0.0 
   32 1998  5  7  0  0  12.2   302   0.0 
   32 1998  5  8  0  0  15.5   282   0.0 
   32 1998  5  9  0  0  16.7   275   0.0 
   32 1998  5 10  0  0  16.8   297   0.0 
   32 1998  5 11  0  0  18.1   268   0.0 
   32 1998  5 12  0  0  19.5   293   0.0 
   32 1998  5 13  0  0  19.7   294   0.0 
   32 1998  5 14  0  0  18.9   270   0.0 
   32 1998  5 15  0  0  17.1   309   0.0 
   32 1998  5 16  0  0  15.1   318   0.0 
   32 1998  5 17  0  0  13.8   312   0.0 
   32 1998  5 18  0  0  13.7   318   0.0 
   32 1998  5 19  0  0  14.4   287   0.0 
   32 1998  5 20  0  0  15.5   310   0.0 
   32 1998  5 21  0  0  15.8   277   0.0 
   32 1998  5 22  0  0  14.4   296   0.0 
   32 1998  5 23  0  0  12.2   320   0.0 
   32 1998  5 24  0  0  12.2   291   0.0 
   32 1998  5 25  0  0  13.0   314   0.0 
   32 1998  5 26  0  0  13.7   198   0.0 
   32 1998  5 27  0  0  15.1   219   7.7 
   32 1998  5 28  0  0  13.7   124   1.0 
   32 1998  5 29  0  0  13.1   162   1.7 
   32 1998  5 30  0  0  15.0   316   6.5 
   32 1998  5 31  0  0  13.7   123  13.3 
   32 1998  6  1  0  0  14.5   275   0.0 
   32 1998  6  2  0  0  18.9   239   5.0 
   32 1998  6  3  0  0  15.4   192  10.2 
   32 1998  6  4  0  0  18.8   281   1.6 
   32 1998  6  5  0  0  20.7   259   0.0 
   32 1998  6  6  0  0  20.5   196   0.5 
   32 1998  6  7  0  0  16.7   130   2.4 
   32 1998  6  8  0  0  15.1   298   0.0 
   32 1998  6  9  0  0  16.6   258   0.0 
   32 1998  6 10  0  0  14.3    59  16.5 
   32 1998  6 11  0  0  11.2   114   3.3 
   32 1998  6 12  0  0   9.4    78   1.0 
   32 1998  6 13  0  0  10.9   343   0.0 
   32 1998  6 14  0  0  12.8   190   1.1 
   32 1998  6 15  0  0  12.8   192   1.6 
   32 1998  6 16  0  0  12.5   169   0.6 
   32 1998  6 17  0  0  13.4   296   0.0 
   32 1998  6 18  0  0  14.5   253   0.0 
   32 1998  6 19  0  0  17.6   332   0.0 
   32 1998  6 20  0  0  20.4   325   0.0 
   32 1998  6 21  0  0  23.3   323   0.0 
   32 1998  6 22  0  0  22.1   260   0.1 
   32 1998  6 23  0  0  19.5   308   0.0 
   32 1998  6 24  0  0  19.3   310   0.0 
   32 1998  6 25  0  0  20.0   233   0.0 
   32 1998  6 26  0  0  19.9   189   0.1 
   32 1998  6 27  0  0  21.2   272   4.1 
   32 1998  6 28  0  0  19.5   138   0.0 
   32 1998  6 29  0  0  19.3   290   0.0 
   32 1998  6 30  0  0  18.5   176   0.0 
   32 1998  7  1  0  0  19.1   248  14.8 
   32 1998  7  2  0  0  16.9   119   8.7 
   32 1998  7  3  0  0  16.6   126   7.5 
   32 1998  7  4  0  0  17.5   306   0.0 
   32 1998  7  5  0  0  17.6   298   0.0 
   32 1998  7  6  0  0  20.0   314   0.0 
   32 1998  7  7  0  0  16.5   102  38.4 
   32 1998  7  8  0  0  14.0   135   0.0 
   32 1998  7  9  0  0  15.6   124   0.0 
   32 1998  7 10  0  0  18.6   222   0.2 
   32 1998  7 11  0  0  19.1   234   0.0 
   32 1998  7 12  0  0  22.1   306   0.0 
   32 1998  7 13  0  0  19.5   177   3.0 
   32 1998  7 14  0  0  15.6   281   0.0 
   32 1998  7 15  0  0  15.7   250   0.0 
   32 1998  7 16  0  0  16.4   114   0.0 
   32 1998  7 17  0  0  20.5   271   0.0 
   32 1998  7 18  0  0  22.3   272   0.0 
   32 1998  7 19  0  0  24.1   297   0.0 
   32 1998  7 20  0  0  25.7   275   0.0 
   32 1998  7 21  0  0  23.4   222   0.6 
   32 1998  7 22  0  0  22.0   255   0.1 
   32 1998  7 23  0  0  22.5   230   2.6 
   32 1998  7 24  0  0  22.0   235   0.0 
   32 1998  7 25  0  0  21.1   280   0.0 
   32 1998  7 26  0  0  22.0   286   0.0 
   32 1998  7 27  0  0  17.8    74  12.9 
   32 1998  7 28  0  0  17.5   136   0.2 
   32 1998  7 29  0  0  20.3   246   0.0 
   32 1998  7 30  0  0  21.8   273   1.9 
   32 1998  7 31  0  0  18.5   145   0.0 
   32 1998  8  1  0  0  16.3   121  11.1 
   32 1998  8  2  0  0  15.3    57  11.5 
   32 1998  8  3  0  0  16.2   125   3.8 
   32 1998  8  4  0  0  19.0   210   0.0 
   32 1998  8  5  0  0  19.4   231   0.0 
   32 1998  8  6  0  0  19.2   292   0.0 
   32 1998  8  7  0  0  19.8   289   0.0 
   32 1998  8  8  0  0  21.7   280   0.0 
   32 1998  8  9  0  0  24.2   272   0.0 
   32 1998  8 10  0  0  24.8   262   0.0 
   32 1998  8 11  0  0  25.7   259   0.0 
   32 1998  8 12  0  0  25.7   207   0.0 
   32 1998  8 13  0  0  21.4   149   0.0 
   32 1998  8 14  0  0  20.2   263   0.0 
   32 1998  8 15  0  0  21.5   249   0.0 
   32 1998  8 16  0  0  22.4   239   0.0 
   32 1998  8 17  0  0  22.3   230   0.0 
   32 1998  8 18  0  0  20.2   173   0.3 
   32 1998  8 19  0  0  20.4   238   0.0 
   32 1998  8 20  0  0  20.6   207   0.0 
   32 1998  8 21  0  0  17.2    54   1.3 
   32 1998  8 22  0  0  17.3    64   1.7 
   32 1998  8 23  0  0  18.6   246  11.0 
   32 1998  8 24  0  0  15.5    76   8.1 
   32 1998  8 25  0  0  16.2   257   0.0 
   32 1998  8 26  0  0  16.8   254   0.0 
   32 1998  8 27  0  0  14.2   139   0.0 
   32 1998  8 28  0  0  12.7   255   0.0 
   32 1998  8 29  0  0  12.0   247   0.0 
   32 1998  8 30  0  0  12.5   217   0.0 
   32 1998  8 31  0  0  15.9   241   0.0 
   32 1998  9  1  0  0  17.9   149   0.0 
   32 1998  9  2  0  0  19.7   154   0.1 
   32 1998  9  3  0  0  18.6   142   6.4 
   32 1998  9  4  0  0  15.5   112  19.4 
   32 1998  9  5  0  0  15.6   139  10.4 
   32 1998  9  6  0  0  16.1   221   0.5 
   32 1998  9  7  0  0  15.1   122   3.1 
   32 1998  9  8  0  0  17.6   181   0.0 
   32 1998  9  9  0  0  19.9   198   0.0 
   32 1998  9 10  0  0  19.5    92   2.3 
   32 1998  9 11  0  0  13.7    50  21.4 
   32 1998  9 12  0  0  10.8    74   2.5 
   32 1998  9 13  0  0   8.8   118   1.4 
   32 1998  9 14  0  0   9.4   110   5.6 
   32 1998  9 15  0  0  10.9   126   1.6 
   32 1998  9 16  0  0  13.9   115   0.2 
   32 1998  9 17  0  0  11.9   109   0.8 
   32 1998  9 18  0  0  11.5   210   0.0 
   32 1998  9 19  0  0  10.9   177   0.0 
   32 1998  9 20  0  0  11.4   178   0.0 
   32 1998  9 21  0  0   9.5    84   0.0 
   32 1998  9 22  0  0   9.9    68   0.0 
   32 1998  9 23  0  0  11.2    94   0.0 
   32 1998  9 24  0  0  12.0   105   0.0 
   32 1998  9 25  0  0  13.8   120   0.0 
   32 1998  9 26  0  0  14.0    67  11.7 
   32 1998  9 27  0  0  13.2    71   5.0 
   32 1998  9 28  0  0  12.7    54   3.2 
   32 1998  9 29  0  0  14.2   132   0.1 
   32 1998  9 30  0  0  12.2    16  31.1 
   32 1998 10  1  0  0  11.0    93   2.2 
   32 1998 10  2  0  0  10.0    79   2.2 
   32 1998 10  3  0  0  10.3    43  11.4 
   32 1998 10  4  0  0   9.6    41   3.7 
   32 1998 10  5  0  0  11.1   116   0.3 
   32 1998 10  6  0  0  10.3    27   4.2 
   32 1998 10  7  0  0   9.7    20   1.8 
   32 1998 10  8  0  0   9.3    64   0.3 
   32 1998 10  9  0  0   9.8   135   0.0 
   32 1998 10 10  0  0  11.9    82   0.0 
   32 1998 10 11  0  0  11.3    58   4.9 
   32 1998 10 12  0  0  10.4    99   0.0 
   32 1998 10 13  0  0   8.1   146   0.0 
   32 1998 10 14  0  0  12.5    64   0.0 
   32 1998 10 15  0  0  14.5   126   0.0 
   32 1998 10 16  0  0  12.7    96   0.0 
   32 1998 10 17  0  0  15.4   125   5.4 
   32 1998 10 18  0  0  10.3    48   2.4 
   32 1998 10 19  0  0   8.4    78   0.0 
   32 1998 10 20  0  0   6.5   122   0.0 
   32 1998 10 21  0  0   6.2    67   0.0 
   32 1998 10 22  0  0   8.1   108   0.0 
   32 1998 10 23  0  0   9.8    88   5.0 
   32 1998 10 24  0  0  12.0    79   9.1 
   32 1998 10 25  0  0  11.4    84  15.9 
   32 1998 10 26  0  0   7.3    72  16.7 
   32 1998 10 27  0  0   8.9    82   0.5 
   32 1998 10 28  0  0  13.6    27   0.0 
   32 1998 10 29  0  0  10.5    20  10.2 
   32 1998 10 30  0  0   6.8    44   6.6 
   32 1998 10 31  0  0   8.5    45   0.6 
   32 1998 11  1  0  0   9.3    28   8.0 
   32 1998 11  2  0  0   7.6   103   0.2 
